Precision,Recall,F-Measure,MAP
0.2,0.4,0.26666666666666666,0.8333333333333333
0.2,1.0,0.33333333333333337,0.6111111111111112
0.2,1.0,0.33333333333333337,0.6111111111111112
0.1,1.0,0.18181818181818182,1.0
0.3,0.14285714285714285,0.19354838709677416,0.625
0.4,0.19047619047619047,0.25806451612903225,0.8611111111111112
0.3,0.2,0.24,0.24206349206349206
0.9,0.42857142857142855,0.5806451612903225,0.9888888888888889
0.3,0.5,0.37499999999999994,0.5396825396825397
0.3,1.0,0.4615384615384615,0.5777777777777777
0.5,0.8333333333333334,0.625,0.7595238095238095
0.5,0.8333333333333334,0.625,0.9428571428571428
0.3,0.5,0.37499999999999994,0.8055555555555555
0.2,1.0,0.33333333333333337,1.0
0.1,1.0,0.18181818181818182,1.0
0.1,1.0,0.18181818181818182,1.0
0.5,0.625,0.5555555555555556,0.8392857142857142
0.2,0.6666666666666666,0.30769230769230765,0.7
0.1,0.3333333333333333,0.15384615384615383,0.3333333333333333
0.4,1.0,0.5714285714285715,0.6916666666666667
0.2,0.6666666666666666,0.30769230769230765,0.8333333333333333
0.4,0.5714285714285714,0.47058823529411764,0.6220238095238095
0.4,0.4,0.4000000000000001,0.75
0.7,0.4117647058823529,0.5185185185185185,0.8329931972789115
0.5,0.23809523809523808,0.3225806451612903,0.4188888888888888
0.4,0.5,0.4444444444444445,0.6
0.4,0.36363636363636365,0.380952380952381,0.7678571428571428
0.3,0.5,0.37499999999999994,0.625
0.5,1.0,0.6666666666666666,1.0
0.0,0.0,NaN,0.0
0.5,0.5555555555555556,0.5263157894736842,0.8444444444444444
0.2,0.2222222222222222,0.2105263157894737,0.5833333333333333
0.2,1.0,0.33333333333333337,0.8333333333333333
0.7,0.7,0.7,0.785374149659864
0.2,0.6666666666666666,0.30769230769230765,0.8333333333333333
0.8,0.8,0.8000000000000002,0.9085317460317459
0.8,0.4,0.5333333333333333,0.7260912698412698
0.4,0.3333333333333333,0.3636363636363636,0.6041666666666666
0.5,0.8333333333333334,0.625,0.7892857142857143
0.5,0.4166666666666667,0.45454545454545453,0.5222222222222221
0.4,0.5714285714285714,0.47058823529411764,0.625
0.1,0.16666666666666666,0.125,0.2
0.0,0.0,NaN,0.0
0.5,0.4166666666666667,0.45454545454545453,0.49777777777777776
0.4,0.8,0.5333333333333333,0.95
0.2,1.0,0.33333333333333337,0.3611111111111111
0.2,0.5,0.28571428571428575,0.3333333333333333
